Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,1/11/2015,011,0.06, ,0.00, ,218, ,10.4, ,64.3, ,43.8, ,53.5, ,89, ,57, ,74, ,45.6, ,2.7, ,65.1, ,52.4, 
2,FivePoints,San Joaquin Valley,1/12/2015,012,0.05, ,0.00, ,207, ,9.5, ,59.7, ,38.3, ,46.7, ,94, ,70, ,88, ,43.3, ,3.4, ,80.7, ,52.1, 
2,FivePoints,San Joaquin Valley,1/13/2015,013,0.04, ,0.01, ,174, ,9.2, ,60.7, ,38.2, ,46.7, ,96, ,59, ,85, ,42.3, ,3.1, ,75.2, ,51.7, 
2,FivePoints,San Joaquin Valley,1/14/2015,014,0.04, ,0.01, ,191, ,8.8, ,55.6, ,36.7, ,43.3, ,95, ,80, ,92, ,41.2, ,3.8, ,91.1, ,51.1, 
2,FivePoints,San Joaquin Valley,1/15/2015,015,0.01, ,0.01, ,77, ,9.0, ,45.9, ,38.2, ,42.9, ,97, ,95, ,96, ,41.9, ,4.5, ,106.8, ,50.7, 
2,FivePoints,San Joaquin Valley,1/16/2015,016,0.02, ,0.00, ,137, ,9.1, ,53.6, ,38.1, ,44.6, ,96, ,70, ,91, ,42.1, ,3.8, ,91.8, ,50.9, 
2,FivePoints,San Joaquin Valley,1/17/2015,017,0.01, ,0.00, ,77, ,9.5, ,50.7, ,38.4, ,45.7, ,96, ,81, ,91, ,43.3, ,3.6, ,85.9, ,50.9, 
2,FivePoints,San Joaquin Valley,1/18/2015,018,0.02, ,0.00, ,103, ,9.8, ,51.9, ,42.6, ,46.5, ,95, ,79, ,91, ,43.9, ,3.1, ,74.0, ,51.3, 
2,FivePoints,San Joaquin Valley,1/19/2015,019,0.00, ,0.03, ,47, ,10.5, ,49.3, ,45.1, ,47.1, ,96, ,94, ,95, ,45.8, ,2.9, ,68.5, ,51.6, 
2,FivePoints,San Joaquin Valley,1/20/2015,020,0.00, ,0.01,R,56, ,10.6, ,50.1, ,46.5, ,48.5, ,96, ,86, ,91, ,46.1, ,3.3, ,79.9, ,52.1, 
2,FivePoints,San Joaquin Valley,1/21/2015,021,0.01, ,0.00, ,44, ,9.7, ,50.0, ,45.8, ,47.5, ,95, ,77, ,87, ,43.8, ,3.0, ,71.4, ,53.6, 
2,FivePoints,San Joaquin Valley,1/22/2015,022,0.03, ,0.00, ,139, ,8.8, ,54.4, ,36.8, ,46.7, ,94, ,69, ,81, ,41.3, ,4.1, ,98.8, ,53.5, 
2,FivePoints,San Joaquin Valley,1/23/2015,023,0.04, ,0.00, ,174, ,9.0, ,55.2, ,39.6, ,46.5, ,94, ,68, ,84, ,41.9, ,4.3, ,103.1, ,52.8, 
2,FivePoints,San Joaquin Valley,1/24/2015,024,0.01, ,0.01, ,85, ,8.9, ,49.5, ,39.7, ,43.3, ,97, ,83, ,94, ,41.6, ,3.8, ,91.3, ,52.3, 
2,FivePoints,San Joaquin Valley,1/25/2015,025,0.02, ,0.00, ,147, ,8.2, ,49.5, ,34.5, ,41.4, ,97, ,77, ,92, ,39.4, ,3.0, ,72.4, ,52.0, 
2,FivePoints,San Joaquin Valley,1/26/2015,026,0.02, ,0.01, ,117, ,8.7, ,55.9, ,31.7, ,44.5, ,96, ,72, ,87, ,41.0, ,3.0, ,73.0, ,51.2, 
2,FivePoints,San Joaquin Valley,1/27/2015,027,0.05, ,0.08, ,182, ,11.8, ,66.8, ,45.0, ,55.0, ,93, ,57, ,80, ,49.0, ,4.3, ,103.7, ,52.6, 
2,FivePoints,San Joaquin Valley,1/28/2015,028,0.04, ,0.01, ,187, ,10.7, ,60.3, ,38.9, ,49.7, ,95, ,71, ,88, ,46.3, ,3.7, ,88.7, ,52.8, 
2,FivePoints,San Joaquin Valley,1/29/2015,029,0.07, ,0.00, ,275, ,10.3, ,64.1, ,40.8, ,50.5, ,96, ,58, ,83, ,45.4, ,3.4, ,82.8, ,53.2, 
2,FivePoints,San Joaquin Valley,1/30/2015,030,0.08, ,0.00, ,277, ,9.8, ,65.5, ,39.5, ,51.0, ,94, ,49, ,77, ,43.9, ,3.4, ,80.6, ,53.2, 
2,FivePoints,San Joaquin Valley,1/31/2015,031,0.08, ,0.00, ,283, ,8.9, ,66.8, ,37.2, ,50.3, ,93, ,46, ,72, ,41.6, ,4.0, ,97.1, ,53.1, 
5,Shafter,San Joaquin Valley,1/1/2015,001,0.05, ,0.01, ,268, ,4.0, ,44.4, ,19.0,Y,29.8,Y,97, ,35, ,71,Y,21.7,Y,3.2, ,75.8, ,50.6, 
5,Shafter,San Joaquin Valley,1/2/2015,002,0.05, ,0.00, ,266, ,4.2, ,46.6, ,21.3,Y,31.9,Y,96, ,32, ,69,Y,23.1,Y,2.7, ,64.1, ,49.8, 
5,Shafter,San Joaquin Valley,1/3/2015,003,0.05, ,0.01, ,259, ,4.6, ,49.1, ,20.4,Y,32.5,Y,97, ,39, ,73,Y,25.0,Y,2.7, ,64.4, ,49.4, 
5,Shafter,San Joaquin Valley,1/4/2015,004,0.05, ,0.00, ,240, ,4.8, ,48.1, ,22.1,Y,32.7,Y,98, ,44, ,76,Y,26.0,Y,2.9, ,68.6, ,49.2, 
5,Shafter,San Joaquin Valley,1/5/2015,005,0.05, ,0.01, ,250, ,4.7, ,48.4, ,21.5,Y,32.3,Y,99, ,46, ,76,Y,25.7,Y,2.5, ,59.0, ,49.3, 
5,Shafter,San Joaquin Valley,1/6/2015,006,0.05, ,0.00, ,255, ,5.0, ,50.8, ,20.8,Y,34.0,Y,99, ,42, ,76,Y,27.3,Y,2.6, ,62.3, ,49.7, 
5,Shafter,San Joaquin Valley,1/7/2015,007,0.05, ,0.00, ,245, ,5.7, ,50.0, ,24.8, ,36.0, ,99, ,49, ,79, ,30.3, ,2.8, ,67.1, ,50.2, 
5,Shafter,San Joaquin Valley,1/8/2015,008,0.06,R,0.00,R,336,R,11.1, ,69.0, ,,S,58.4,Y,100, ,47, ,67,Y,47.4,Y,3.0, ,73.0, ,51.0, 
5,Shafter,San Joaquin Valley,1/9/2015,009,0.05,R,0.00, ,196, ,14.0,Y,67.5, ,44.7, ,54.4, ,100, ,50, ,97,Y,53.5,Y,2.6, ,63.3, ,52.2, 
5,Shafter,San Joaquin Valley,1/10/2015,010,0.03,R,0.01, ,148, ,17.0,R,64.5, ,43.2, ,53.9, ,100, ,63, ,,R,,I,2.7, ,64.2, ,52.9, 
5,Shafter,San Joaquin Valley,1/11/2015,011,0.01,R,0.17, ,99, ,20.4,R,61.8, ,45.8, ,53.8, ,100, ,78, ,,R,,I,2.7, ,63.9, ,53.8, 
5,Shafter,San Joaquin Valley,1/12/2015,012,0.02,R,0.01, ,138, ,18.2,R,60.5, ,44.7, ,50.7, ,100, ,80, ,,R,,I,2.8, ,66.8, ,53.9, 
5,Shafter,San Joaquin Valley,1/13/2015,013,0.05,R,0.01,R,312, ,12.5, ,60.9, ,43.4, ,53.1, ,100, ,71, ,90, ,50.4, ,3.2, ,76.2, ,54.0, 
5,Shafter,San Joaquin Valley,1/14/2015,014,0.05,R,0.01, ,221, ,12.4, ,63.5, ,42.8, ,50.6, ,100, ,62, ,99, ,50.3, ,3.6, ,85.4, ,54.3, 
5,Shafter,San Joaquin Valley,1/15/2015,015,0.03,R,0.01, ,153, ,12.3, ,53.5, ,45.9, ,47.8, ,100, ,90, ,100, ,50.0, ,3.8, ,91.3, ,54.7, 
5,Shafter,San Joaquin Valley,1/16/2015,016,0.04,R,0.00, ,194, ,11.2, ,59.1, ,41.8, ,48.6, ,100, ,63, ,96, ,47.4, ,4.4, ,104.4, ,54.8, 
5,Shafter,San Joaquin Valley,1/17/2015,017,0.00,R,0.01, ,70, ,11.1, ,48.6, ,38.3, ,44.4, ,100, ,100, ,100, ,47.3, ,3.0, ,72.1, ,54.0, 
5,Shafter,San Joaquin Valley,1/18/2015,018,0.01,R,0.00, ,87, ,11.7, ,53.2, ,44.9, ,47.3, ,100, ,80, ,100, ,48.6, ,4.0, ,96.3, ,54.2, 
5,Shafter,San Joaquin Valley,1/19/2015,019,0.00,R,0.01, ,47, ,11.8, ,47.7, ,43.7, ,45.9, ,100, ,100, ,100, ,48.8, ,2.7, ,65.6, ,54.1, 
5,Shafter,San Joaquin Valley,1/20/2015,020,0.00,R,0.01, ,46, ,11.6, ,50.6, ,45.6, ,47.7, ,100, ,85, ,100, ,48.5, ,2.3, ,55.6, ,54.2, 
5,Shafter,San Joaquin Valley,1/21/2015,021,0.01, ,0.00, ,58, ,10.1, ,51.3, ,46.9, ,49.0, ,100, ,76, ,85, ,44.8, ,2.9, ,68.9, ,54.2, 
5,Shafter,San Joaquin Valley,1/22/2015,022,0.04, ,0.00, ,161, ,9.5, ,56.5, ,39.1, ,48.4, ,100, ,67, ,82, ,43.2, ,3.1, ,75.2, ,54.3, 
5,Shafter,San Joaquin Valley,1/23/2015,023,0.03,R,0.01, ,145, ,9.9, ,54.9, ,36.1, ,43.9, ,100, ,71, ,100, ,44.2, ,3.3, ,78.7, ,53.8, 
5,Shafter,San Joaquin Valley,1/24/2015,024,0.00,R,0.01, ,75, ,9.8, ,45.3, ,34.0, ,40.6, ,100, ,100, ,100, ,43.9, ,3.3, ,78.9, ,53.0, 
5,Shafter,San Joaquin Valley,1/25/2015,025,0.02,R,0.01, ,140, ,10.5, ,54.6, ,40.4, ,44.6, ,100, ,74, ,100, ,45.8, ,3.1, ,75.1, ,53.3, 
5,Shafter,San Joaquin Valley,1/26/2015,026,0.01,R,0.02, ,85, ,9.9, ,56.6, ,,S,45.6, ,100, ,72, ,95, ,44.4, ,2.9, ,70.5, ,,M
5,Shafter,San Joaquin Valley,1/27/2015,027,0.07, ,0.04, ,239, ,12.0, ,67.2, ,47.2, ,55.3, ,97, ,56, ,81, ,49.4, ,3.3, ,78.2, ,54.0, 
5,Shafter,San Joaquin Valley,1/28/2015,028,0.02, ,0.00, ,114, ,11.9, ,59.8, ,45.4, ,51.6, ,98, ,72, ,91, ,49.0, ,2.6, ,62.9, ,54.5, 
5,Shafter,San Joaquin Valley,1/29/2015,029,0.04, ,0.00, ,176, ,12.2, ,63.2, ,47.5, ,53.5, ,98, ,68, ,87, ,49.9, ,2.6, ,61.5, ,54.9, 
5,Shafter,San Joaquin Valley,1/30/2015,030,0.04, ,0.00, ,175, ,11.3, ,63.3, ,45.4, ,53.3, ,96, ,60, ,82, ,47.9, ,2.6, ,62.8, ,55.4, 
5,Shafter,San Joaquin Valley,1/31/2015,031,0.06, ,0.01, ,243, ,10.7, ,65.9, ,39.8, ,51.8, ,99, ,55, ,82, ,46.4, ,3.5, ,84.1, ,55.0, 
6,Davis,Sacramento Valley,1/1/2015,001,0.04, ,0.00, ,237, ,5.9, ,51.7, ,29.8, ,39.1, ,93, ,46, ,72, ,31.0, ,2.8, ,68.0, ,48.1, 
6,Davis,Sacramento Valley,1/2/2015,002,0.05, ,0.00, ,236, ,6.0, ,52.4, ,27.8, ,38.2, ,91, ,49, ,77, ,31.7, ,2.9, ,68.4, ,47.3, 
6,Davis,Sacramento Valley,1/3/2015,003,0.04, ,0.00, ,231, ,6.4, ,54.2, ,27.8, ,39.3, ,97, ,51, ,79, ,33.2, ,2.3, ,55.4, ,47.0, 
6,Davis,Sacramento Valley,1/4/2015,004,0.04, ,0.00, ,188, ,7.4, ,55.1, ,32.7, ,42.2, ,94, ,58, ,81, ,36.8, ,3.2, ,77.8, ,47.0, 
6,Davis,Sacramento Valley,1/5/2015,005,0.04, ,0.00, ,281,R,8.5, ,59.4, ,37.6, ,48.5, ,97, ,56, ,73, ,40.3, ,2.5, ,60.1, ,47.3, 
6,Davis,Sacramento Valley,1/6/2015,006,0.06, ,0.00, ,243, ,8.8, ,62.8, ,35.2, ,46.5, ,98, ,50, ,82, ,41.3, ,3.6, ,85.7, ,47.6, 
6,Davis,Sacramento Valley,1/7/2015,007,0.06, ,0.00, ,248, ,9.2, ,66.1, ,35.1, ,48.1, ,97, ,51, ,80, ,42.4, ,2.7, ,64.2, ,48.0, 
6,Davis,Sacramento Valley,1/8/2015,008,0.04, ,0.00, ,189, ,9.7, ,61.7, ,35.5, ,47.1, ,100, ,65, ,88, ,43.8, ,2.8, ,67.6, ,48.3, 
6,Davis,Sacramento Valley,1/9/2015,009,0.02, ,0.00, ,99, ,10.4, ,57.1, ,40.2, ,49.0, ,98, ,74, ,88, ,45.6, ,2.2, ,52.7, ,48.9, 
6,Davis,Sacramento Valley,1/10/2015,010,0.04, ,0.00, ,196, ,11.3, ,62.1, ,42.6, ,51.0, ,100, ,68, ,89, ,47.8, ,2.2, ,52.1, ,49.8, 
6,Davis,Sacramento Valley,1/11/2015,011,0.05, ,0.00, ,226, ,10.9, ,64.2, ,40.2, ,51.2, ,100, ,58, ,85, ,46.8, ,2.0, ,48.3, ,50.3, 
6,Davis,Sacramento Valley,1/12/2015,012,0.06, ,0.00, ,234, ,10.3, ,63.7, ,39.4, ,49.9, ,100, ,59, ,84, ,45.2, ,3.7, ,88.9, ,50.3, 
6,Davis,Sacramento Valley,1/13/2015,013,0.07, ,0.00, ,258, ,9.9, ,63.0, ,39.9, ,51.9, ,99, ,54, ,75, ,44.2, ,5.8, ,138.1, ,50.6, 
6,Davis,Sacramento Valley,1/14/2015,014,0.04, ,0.01, ,187, ,10.0, ,56.2, ,37.5, ,45.8, ,100, ,79, ,95, ,44.5, ,3.5, ,85.2, ,50.5, 
6,Davis,Sacramento Valley,1/15/2015,015,0.03, ,0.00, ,164, ,9.6, ,56.6, ,36.6, ,46.2, ,100, ,66, ,90, ,43.4, ,2.7, ,64.6, ,49.9, 
6,Davis,Sacramento Valley,1/16/2015,016,0.01, ,0.01, ,75, ,11.0, ,50.8, ,43.3, ,47.2, ,100, ,97, ,100, ,47.1, ,6.2, ,149.7, ,50.3, 
6,Davis,Sacramento Valley,1/17/2015,017,0.01, ,0.00, ,100, ,11.5, ,54.0, ,41.2, ,48.7, ,100, ,90, ,98, ,48.2, ,3.3, ,79.1, ,50.5, 
6,Davis,Sacramento Valley,1/18/2015,018,0.00, ,0.00, ,65, ,12.2, ,51.7, ,47.9, ,49.9, ,100, ,99, ,100, ,49.9, ,4.9, ,116.7, ,51.2, 
6,Davis,Sacramento Valley,1/19/2015,019,0.05, ,0.00, ,204, ,12.2, ,61.6, ,44.1, ,52.2, ,100, ,60, ,91, ,49.7, ,3.9, ,92.5, ,52.1, 
6,Davis,Sacramento Valley,1/20/2015,020,0.05, ,0.00, ,255, ,10.1, ,56.6, ,39.0, ,47.0, ,100, ,66, ,92, ,44.8, ,3.2, ,76.3, ,52.0, 
6,Davis,Sacramento Valley,1/21/2015,021,0.04, ,0.01, ,225, ,9.4, ,56.4, ,37.2, ,44.7, ,100, ,70, ,93, ,42.9, ,3.1, ,75.6, ,51.2, 
6,Davis,Sacramento Valley,1/22/2015,022,0.04, ,0.00, ,188, ,9.6, ,54.0, ,37.3, ,45.0, ,100, ,78, ,95, ,43.5, ,3.2, ,76.3, ,50.7, 
6,Davis,Sacramento Valley,1/23/2015,023,0.05, ,0.01, ,238, ,9.3, ,59.3, ,35.2, ,44.6, ,100, ,66, ,93, ,42.7, ,3.3, ,79.8, ,50.2, 
6,Davis,Sacramento Valley,1/24/2015,024,0.05, ,0.00, ,227, ,10.1, ,54.6, ,42.9, ,46.4, ,100, ,76, ,94, ,44.9, ,4.1, ,98.8, ,50.8, 
6,Davis,Sacramento Valley,1/25/2015,025,0.04, ,0.00, ,205, ,9.9, ,59.7, ,41.2, ,46.2, ,100, ,70, ,93, ,44.3, ,3.5, ,83.6, ,51.1, 
6,Davis,Sacramento Valley,1/26/2015,026,0.06, ,0.00, ,229, ,10.2, ,70.6,Y,36.8, ,49.5, ,100, ,51, ,85, ,45.1, ,4.5, ,107.5, ,51.0, 
6,Davis,Sacramento Valley,1/27/2015,027,0.03, ,0.00, ,113, ,12.2, ,61.0, ,46.2, ,52.9, ,100, ,75, ,89, ,49.8, ,4.2, ,99.8, ,51.6, 
6,Davis,Sacramento Valley,1/28/2015,028,0.08, ,0.00, ,378,R,11.5, ,69.3, ,49.4, ,59.6,Y,99, ,47, ,66,Y,48.3,Y,5.1, ,123.4, ,52.4, 
6,Davis,Sacramento Valley,1/29/2015,029,0.07, ,0.00, ,294, ,10.7, ,69.4, ,40.7, ,52.7, ,100, ,48, ,78, ,46.2, ,2.8, ,66.4, ,52.4, 
6,Davis,Sacramento Valley,1/30/2015,030,0.11, ,0.00, ,303, ,9.4, ,70.8,Y,40.6, ,55.4, ,100, ,41, ,63, ,43.0, ,6.3, ,150.3, ,52.2, 
6,Davis,Sacramento Valley,1/31/2015,031,0.16, ,0.00, ,325, ,6.7, ,72.3,Y,46.8, ,58.6,Y,89, ,24, ,40,Y,34.3,Y,9.2, ,221.7, ,52.4, 
7,Firebaugh/Telles,San Joaquin Valley,1/1/2015,001,0.02, ,0.00, ,112, ,5.3, ,49.7, ,25.1, ,35.9, ,100, ,41, ,74, ,28.4, ,2.3, ,54.2, ,44.2, 
7,Firebaugh/Telles,San Joaquin Valley,1/2/2015,002,0.02, ,0.00, ,113, ,5.6, ,50.0, ,27.1, ,37.2, ,97, ,48, ,74, ,29.7, ,2.3, ,56.1, ,43.4, 
7,Firebaugh/Telles,San Joaquin Valley,1/3/2015,003,0.03, ,0.00, ,112, ,5.9, ,53.0, ,28.2, ,39.4, ,94, ,44, ,72, ,31.1, ,2.1, ,50.6, ,43.2, 
7,Firebaugh/Telles,San Joaquin Valley,1/4/2015,004,0.02, ,0.00, ,106, ,6.8, ,55.1, ,30.4, ,40.8, ,100, ,52, ,78, ,34.5, ,2.1, ,51.4, ,43.4, 
7,Firebaugh/Telles,San Joaquin Valley,1/5/2015,005,0.03, ,0.00, ,120, ,7.1, ,58.3, ,31.2, ,43.3, ,94, ,48, ,74, ,35.7, ,2.0, ,48.2, ,44.1, 
7,Firebaugh/Telles,San Joaquin Valley,1/6/2015,006,0.03, ,0.00, ,113, ,7.7, ,59.3, ,32.0, ,44.8, ,97, ,52, ,76, ,37.8, ,2.3, ,55.5, ,44.7, 
7,Firebaugh/Telles,San Joaquin Valley,1/7/2015,007,0.03, ,0.00, ,119, ,8.5, ,63.4, ,34.7, ,47.8, ,94, ,50, ,75, ,40.4, ,2.1, ,49.8, ,45.3, 
7,Firebaugh/Telles,San Joaquin Valley,1/8/2015,008,0.03, ,0.00, ,128, ,9.9, ,64.6, ,38.1, ,50.2, ,98, ,56, ,80, ,44.2, ,2.1, ,49.7, ,46.4, 
7,Firebaugh/Telles,San Joaquin Valley,1/9/2015,009,0.02, ,0.00, ,111, ,11.0, ,62.6, ,44.2, ,51.8, ,95, ,70, ,84, ,47.1, ,1.8, ,43.9, ,48.4, 
7,Firebaugh/Telles,San Joaquin Valley,1/10/2015,010,0.03, ,0.00, ,137, ,11.0, ,65.0, ,44.2, ,53.5, ,94, ,61, ,79, ,47.1, ,2.0, ,47.8, ,49.9, 
7,Firebaugh/Telles,San Joaquin Valley,1/11/2015,011,0.03, ,0.00, ,122, ,11.0, ,64.7, ,42.6, ,52.8, ,96, ,59, ,80, ,47.0, ,2.4, ,56.9, ,50.5, 
7,Firebaugh/Telles,San Joaquin Valley,1/12/2015,012,0.03, ,0.00, ,122, ,10.7, ,60.9, ,38.2, ,49.4, ,100, ,67, ,89, ,46.3, ,2.6, ,62.5, ,50.0, 
7,Firebaugh/Telles,San Joaquin Valley,1/13/2015,013,0.03, ,0.00, ,135, ,9.5, ,59.9, ,35.8, ,47.4, ,100, ,64, ,86, ,43.2, ,2.4, ,58.7, ,49.4, 
7,Firebaugh/Telles,San Joaquin Valley,1/14/2015,014,0.02, ,0.00, ,132, ,9.6, ,54.8, ,34.6, ,44.3, ,100, ,84, ,97, ,43.6, ,2.3, ,55.7, ,48.5, 
7,Firebaugh/Telles,San Joaquin Valley,1/15/2015,015,0.00, ,0.01, ,54, ,10.5, ,47.4, ,42.6, ,45.1, ,100, ,100, ,100, ,45.8, ,2.5, ,59.9, ,49.6, 
7,Firebaugh/Telles,San Joaquin Valley,1/16/2015,016,0.01, ,0.00, ,74, ,10.0, ,51.8, ,40.2, ,44.9, ,100, ,85, ,99, ,44.7, ,3.2, ,77.6, ,50.0, 
7,Firebaugh/Telles,San Joaquin Valley,1/17/2015,017,0.00, ,0.00, ,45, ,11.5, ,50.8, ,40.0, ,48.3, ,100, ,96, ,100, ,48.3, ,2.3, ,56.1, ,50.0, 
7,Firebaugh/Telles,San Joaquin Valley,1/18/2015,018,0.01, ,0.00, ,78, ,11.5, ,52.0, ,45.8, ,48.5, ,100, ,90, ,99, ,48.2, ,2.5, ,60.6, ,51.1, 
7,Firebaugh/Telles,San Joaquin Valley,1/19/2015,019,0.01, ,0.01, ,67, ,12.2, ,53.7, ,46.6, ,49.3, ,100, ,95, ,100, ,49.9, ,2.6, ,61.5, ,51.9, 
7,Firebaugh/Telles,San Joaquin Valley,1/20/2015,020,0.00, ,0.00, ,52, ,11.8, ,52.3, ,43.0, ,48.5, ,100, ,92, ,100, ,49.0, ,3.0, ,70.9, ,52.2, 
7,Firebaugh/Telles,San Joaquin Valley,1/21/2015,021,0.01, ,0.00, ,54, ,10.3, ,50.5, ,42.5, ,46.9, ,100, ,81, ,95, ,45.4, ,2.9, ,69.9, ,51.7, 
7,Firebaugh/Telles,San Joaquin Valley,1/22/2015,022,0.01, ,0.00, ,88, ,9.7, ,51.5, ,36.5, ,46.5, ,100, ,78, ,90, ,43.6, ,3.0, ,71.2, ,51.7, 
7,Firebaugh/Telles,San Joaquin Valley,1/23/2015,023,0.04, ,0.00, ,180, ,9.5, ,55.3, ,34.2, ,44.3, ,100, ,75, ,96, ,43.1, ,2.8, ,66.5, ,50.1, 
7,Firebaugh/Telles,San Joaquin Valley,1/24/2015,024,0.00, ,0.01, ,69, ,9.8, ,46.3, ,41.1, ,43.3, ,100, ,100, ,100, ,44.1, ,3.6, ,85.7, ,49.9, 
7,Firebaugh/Telles,San Joaquin Valley,1/25/2015,025,0.01, ,0.00, ,78, ,9.3, ,47.0, ,35.0, ,41.9, ,100, ,93, ,100, ,42.7, ,2.5, ,60.2, ,50.1, 
7,Firebaugh/Telles,San Joaquin Valley,1/26/2015,026,0.02, ,0.01, ,144, ,9.3, ,52.5, ,32.8, ,42.7, ,100, ,84, ,100, ,42.7, ,2.4, ,58.8, ,49.5, 
7,Firebaugh/Telles,San Joaquin Valley,1/27/2015,027,0.04, ,0.01, ,156, ,13.1, ,65.6, ,45.5, ,55.8, ,100, ,61, ,86, ,51.7, ,5.1, ,122.7, ,51.6, 
7,Firebaugh/Telles,San Joaquin Valley,1/28/2015,028,0.06, ,0.00, ,242, ,11.6, ,62.6, ,43.0, ,51.6, ,100, ,67, ,89, ,48.5, ,2.8, ,67.9, ,51.9, 
7,Firebaugh/Telles,San Joaquin Valley,1/29/2015,029,0.05, ,0.00, ,246, ,10.7, ,60.4, ,38.7, ,48.2, ,100, ,76, ,93, ,46.3, ,2.5, ,59.1, ,51.7, 
7,Firebaugh/Telles,San Joaquin Valley,1/30/2015,030,0.07, ,0.00, ,274, ,9.8, ,65.8, ,37.8, ,50.7, ,97, ,54, ,77, ,43.9, ,2.6, ,63.5, ,51.2, 
7,Firebaugh/Telles,San Joaquin Valley,1/31/2015,031,0.08, ,0.00, ,285, ,8.4, ,66.9, ,39.1, ,51.6, ,100, ,38, ,64, ,39.9, ,2.7, ,64.0, ,51.2, 
12,Durham,Sacramento Valley,1/1/2015,001,0.04, ,0.00, ,219, ,5.4, ,48.3, ,24.9, ,35.6, ,98, ,47, ,76, ,28.9, ,2.4, ,58.8, ,41.0, 
12,Durham,Sacramento Valley,1/2/2015,002,0.04, ,0.00, ,218, ,5.7, ,54.7, ,25.1, ,35.4, ,99, ,41, ,81, ,30.1, ,1.8, ,43.8, ,40.3, 
12,Durham,Sacramento Valley,1/3/2015,003,0.04, ,0.00, ,217, ,6.0, ,53.6, ,25.6, ,36.4, ,99, ,51, ,83, ,31.7, ,2.0, ,47.1, ,40.3, 
12,Durham,Sacramento Valley,1/4/2015,004,0.04, ,0.00, ,173, ,6.6, ,58.3, ,28.5, ,40.1, ,100, ,43, ,79, ,34.1, ,2.0, ,48.3, ,41.0, 
12,Durham,Sacramento Valley,1/5/2015,005,0.04, ,0.00, ,198, ,7.4, ,59.9, ,30.0, ,40.7, ,100, ,50, ,86, ,36.8, ,2.0, ,47.2, ,41.8, 
12,Durham,Sacramento Valley,1/6/2015,006,0.05, ,0.00, ,221, ,8.2, ,66.8, ,31.4, ,45.2, ,100, ,43, ,80, ,39.3, ,2.2, ,52.1, ,42.8, 
12,Durham,Sacramento Valley,1/7/2015,007,0.05, ,0.00, ,220, ,8.7, ,69.8,Y,35.4, ,47.4, ,99, ,38, ,78, ,40.9, ,2.0, ,48.2, ,43.8, 
